FOODCODE	DESCRIPTION_f
11710056	Infant_formula_powder_made_with_baby_water_(Similac_Expert_Care_Alimentum)
11710350	Infant_formula_NS_as_to_form_(Similac_Advance)
11710351	Infant_formula_ready-to-feed_(Similac_Advance)
11710352	Infant_formula_liquid_concentrate_made_with_water_NFS_(Similac_Advance)
11710353	Infant_formula_powder_made_with_water_NFS_(Similac_Advance)
11710354	Infant_formula_liquid_concentrate_made_with_tap_water_(Similac_Advance)
11710355	Infant_formula_liquid_concentrate_made_with_plain_bottled_water_(Similac_Advance)
11710356	Infant_formula_liquid_concentrate_made_with_baby_water_(Similac_Advance)
11710357	Infant_formula_powder_made_with_tap_water_(Similac_Advance)
11710358	Infant_formula_powder_made_with_plain_bottled_water_(Similac_Advance)
11710359	Infant_formula_powder_made_with_baby_water_(Similac_Advance)
11710360	Infant_formula_NS_as_to_form_(Similac_Advance_Organic)
11710361	Infant_formula_ready-to-feed_(Similac_Advance_Organic)
11710363	Infant_formula_powder_made_with_water_NFS_(Similac_Advance_Organic)
11710367	Infant_formula_powder_made_with_tap_water_(Similac_Advance_Organic)
11710368	Infant_formula_powder_made_with_plain_bottled_water_(Similac_Advance_Organic)
11710369	Infant_formula_powder_made_with_baby_water_(Similac_Advance_Organic)
11710370	Infant_formula_NS_as_to_form_(Similac_Sensitive)
11710371	Infant_formula_ready-to-feed_(Similac_Sensitive)
11710372	Infant_formula_liquid_concentrate_made_with_water_NFS_(Similac_Sensitive)
11710373	Infant_formula_powder_made_with_water_NFS_(Similac_Sensitive)
11710374	Infant_formula_liquid_concentrate_made_with_tap_water_(Similac_Sensitive)
11710375	Infant_formula_liquid_concentrate_made_with_plain_bottled_water_(Similac_Sensitive)
11710376	Infant_formula_liquid_concentrate_made_with_baby_water_(Similac_Sensitive)
11710377	Infant_formula_powder_made_with_tap_water_(Similac_Sensitive)
11710378	Infant_formula_powder_made_with_plain_bottled_water_(Similac_Sensitive)
11710379	Infant_formula_powder_made_with_baby_water_(Similac_Sensitive)
11710380	Infant_formula_NS_as_to_form_(Similac_for_Spit-Up)
11710381	Infant_formula_ready-to-feed_(Similac_for_Spit-Up)
11710383	Infant_formula_powder_made_with_water_NFS_(Similac_for_Spit-Up)
11710470	Infant_formula_NS_as_to_form_(Similac_Expert_Care_NeoSure)
11710471	Infant_formula_ready-to-feed_(Similac_Expert_Care_NeoSure)
11710473	Infant_formula_powder_made_with_water_NFS_(Similac_Expert_Care_NeoSure)
11710477	Infant_formula_powder_made_with_tap_water_(Similac_Expert_Care_NeoSure)
11710478	Infant_formula_powder_made_with_plain_bottled_water_(Similac_Expert_Care_NeoSure)
11710479	Infant_formula_powder_made_with_baby_water_(Similac_Expert_Care_NeoSure)
11710480	Infant_formula_NS_as_to_form_(Similac_Go_and_Grow)
11710481	Infant_formula_powder_made_with_water_NFS_(Similac_Go_and_Grow)
11710620	Infant_formula_NS_as_to_form_(Enfamil_Newborn)
11710621	Infant_formula_ready-to-feed_(Enfamil_Newborn)
11710626	Infant_formula_powder_made_with_water_NFS_(Enfamil_Newborn)
11710627	Infant_formula_powder_made_with_tap_water_(Enfamil_Newborn)
11710628	Infant_formula_powder_made_with_plain_bottled_water_(Enfamil_Newborn)
11710629	Infant_formula_powder_made_with_baby_water_(Enfamil_Newborn)
11710630	Infant_formula_NS_as_to_form_(Enfamil_Infant)
11710631	Infant_formula_ready-to-feed_(Enfamil_Infant)
11710632	Infant_formula_liquid_concentrate_made_with_water_NFS_(Enfamil_Infant)
11710633	Infant_formula_liquid_concentrate_made_with_tap_water_(Enfamil_Infant)
11710634	Infant_formula_liquid_concentrate_made_with_plain_bottled_water_(Enfamil_Infant)
11710635	Infant_formula_liquid_concentrate_made_with_baby_water_(Enfamil_Infant)
11710636	Infant_formula_powder_made_with_water_NFS_(Enfamil_Infant)
11710637	Infant_formula_powder_made_with_tap_water_(Enfamil_Infant)
11710638	Infant_formula_powder_made_with_plain_bottled_water_(Enfamil_Infant)
11710639	Infant_formula_powder_made_with_baby_water_(Enfamil_Infant)
11710660	Infant_formula_NS_as_to_form_(Enfamil_A.R.)
11710661	Infant_formula_ready-to-feed_(Enfamil_A.R.)
11710663	Infant_formula_powder_made_with_water_NFS_(Enfamil_A.R.)
11710664	Infant_formula_powder_made_with_tap_water_(Enfamil_A.R.)
11710665	Infant_formula_NS_as_to_form_(Enfamil_EnfaCare)
11710666	Infant_formula_ready-to-feed_(Enfamil_EnfaCare)
11710667	Infant_formula_powder_made_with_water_NFS_(Enfamil_EnfaCare)
11710668	Infant_formula_powder_made_with_plain_bottled_water_(Enfamil_A.R.)
11710669	Infant_formula_powder_made_with_baby_water_(Enfamil_A.R.)
11710670	Infant_formula_NS_as_to_form_(Enfamil_Gentlease)
11710671	Infant_formula_ready-to-feed_(Enfamil_Gentlease)
11710673	Infant_formula_powder_made_with_water_NFS_(Enfamil_Gentlease)
11710674	Infant_formula_powder_made_with_tap_water_(Enfamil_EnfaCare)
11710675	Infant_formula_powder_made_with_plain_bottled_water_(Enfamil_EnfaCare)
11710676	Infant_formula_powder_made_with_baby_water_(Enfamil_EnfaCare)
