"DRXFDCD"	"DRXFCSD"	"DRXFCLD"
73201000	"PUMPKIN, COOKED, NS AS TO FORM, NS AS TO FAT ADDED IN COOKIN"	"Pumpkin, cooked, NS as to form, NS as to fat added in cooking"
73201001	"PUMPKIN, COOKED, FROM FRESH, NS AS TO FAT ADDED IN COOKING"	"Pumpkin, cooked, from fresh, NS as to fat added in cooking"
73201002	"PUMPKIN, COOKED, FROM FROZEN, NS AS TO FAT ADDED IN COOKING"	"Pumpkin, cooked, from frozen, NS as to fat added in cooking"
73201003	"PUMPKIN, COOKED, FROM CANNED, NS AS TO FAT ADDED IN COOKING"	"Pumpkin, cooked, from canned, NS as to fat added in cooking"
73201010	"PUMPKIN, COOKED, NS AS TO FORM, FAT NOT ADDED IN COOKING"	"Pumpkin, cooked, NS as to form, fat not added in cooking"
73201011	"PUMPKIN, COOKED, FROM FRESH, FAT NOT ADDED IN COOKING"	"Pumpkin, cooked, from fresh, fat not added in cooking"
73201012	"PUMPKIN, COOKED, FROM FROZEN, FAT NOT ADDED IN COOKING"	"Pumpkin, cooked, from frozen, fat not added in cooking"
73201013	"PUMPKIN, COOKED, FROM CANNED, FAT NOT ADDED IN COOKING"	"Pumpkin, cooked, from canned, fat not added in cooking"
73201020	"PUMPKIN, COOKED, NS AS TO FORM, FAT ADDED IN COOKING, NS AS"	"Pumpkin, cooked, NS as to form, fat added in cooking, NS as to type of fat"
73201021	"PUMPKIN, COOKED, FROM FRESH, FAT ADDED IN COOKING, NS AS TO"	"Pumpkin, cooked, from fresh, fat added in cooking, NS as to type of fat"
73201022	"PUMPKIN, COOKED, FROM FROZEN, FAT ADDED IN COOKING, NS AS TO"	"Pumpkin, cooked, from frozen, fat added in cooking, NS as to type of fat"
73201023	"PUMPKIN, COOKED, FROM CANNED, FAT ADDED IN COOKING, NS AS TO"	"Pumpkin, cooked, from canned, fat added in cooking, NS as to type of fat"
73201024	"PUMPKIN, COOKED, NS AS TO FORM, MADE WITH OIL"	"Pumpkin, cooked, NS as to form, made with oil"
73201025	"PUMPKIN, COOKED, NS AS TO FORM, MADE WITH BUTTER"	"Pumpkin, cooked, NS as to form, made with butter"
73201026	"PUMPKIN, COOKED, NS AS TO FORM, MADE WITH MARGARINE"	"Pumpkin, cooked, NS as to form, made with margarine"
73201027	"PUMPKIN, COOKED, FROM FRESH, MADE WITH OIL"	"Pumpkin, cooked, from fresh, made with oil"
73201028	"PUMPKIN, COOKED, FROM FRESH, MADE WITH BUTTER"	"Pumpkin, cooked, from fresh, made with butter"
73201029	"PUMPKIN, COOKED, FROM FRESH, MADE WITH MARGARINE"	"Pumpkin, cooked, from fresh, made with margarine"
