"DRXFDCD"	"DRXFCSD"	"DRXFCLD"
43102000	"SUNFLOWER SEEDS, PLAIN, UNSALTED"	"Sunflower seeds, plain, unsalted"
43102100	"SUNFLOWER SEEDS, PLAIN, SALTED"	"Sunflower seeds, plain, salted"
43102300	"SUNFLOWER SEEDS, FLAVORED"	"Sunflower seeds, flavored"
43102400	"SUNFLOWER SEEDS, NFS"	"Sunflower seeds, NFS"
43103000	"SESAME SEEDS"	"Sesame seeds"
43103300	"TAHINI"	"Tahini"
43104000	"FLAX SEEDS"	"Flax seeds"
43107000	"MIXED SEEDS"	"Mixed seeds"
43108010	"CHIA SEEDS"	"Chia seeds"
44201000	"CAROB CHIPS"	"Carob chips"
51000100	"BREAD, NS AS TO MAJOR FLOUR"	"Bread, NS as to major flour"
51000110	"BREAD, NS AS TO MAJOR FLOUR, TOASTED"	"Bread, NS as to major flour, toasted"
51000180	"BREAD, MADE FROM HOME RECIPE OR PURCHASED AT A BAKERY, NS AS"	"Bread, made from home recipe or purchased at a bakery, NS as to major flour"
51000190	"BREAD, MADE FROM HOME RECIPE OR PURCHASED AT A BAKERY, TOAST"	"Bread, made from home recipe or purchased at a bakery, toasted, NS as to major flour"
51000200	"ROLL, NS AS TO MAJOR FLOUR"	"Roll, NS as to major flour"
51000300	"ROLL, HARD, NS AS TO MAJOR FLOUR"	"Roll, hard, NS as to major flour"
51000400	"ROLL, BRAN, NS AS TO TYPE OF BRAN"	"Roll, bran, NS as to type of bran"
51101000	"BREAD, WHITE"	"Bread, white"
51101010	"BREAD, WHITE, TOASTED"	"Bread, white, toasted"
51101050	"BREAD, WHITE, MADE FROM HOME RECIPE OR PURCHASED AT A BAKERY"	"Bread, white, made from home recipe or purchased at a bakery"
51101060	"BREAD, WHITE, MADE FROM HOME RECIPE OR PURCHASED AT A BAKERY"	"Bread, white, made from home recipe or purchased at a bakery, toasted"
51102010	"BREAD, WHITE WITH WHOLE WHEAT SWIRL"	"Bread, white with whole wheat swirl"
51102020	"BREAD, WHITE WITH WHOLE WHEAT SWIRL, TOASTED"	"Bread, white with whole wheat swirl, toasted"
51105010	"BREAD, CUBAN"	"Bread, Cuban"
51105040	"BREAD, CUBAN, TOASTED"	"Bread, Cuban, toasted"
51106010	"BREAD, NATIVE, WATER, PUERTO RICAN STYLE"	"Bread, native, water, Puerto Rican style"
51106020	"BREAD, NATIVE, WATER, TOASTED, PUERTO RICAN STYLE"	"Bread, native, water, toasted, Puerto Rican style"
51106200	"BREAD, LARD, PUERTO RICAN STYLE"	"Bread, lard, Puerto Rican style"
51106210	"BREAD, LARD, TOASTED, PUERTO RICAN STYLE"	"Bread, lard, toasted, Puerto Rican style"
51106300	"BREAD, CARESSED, PUERTO RICAN STYLE"	"Bread, caressed, Puerto Rican style"
51106310	"BREAD, CARESSED, TOASTED, PUERTO RICAN STYLE"	"Bread, caressed, toasted, Puerto Rican style"
51107010	"BREAD, FRENCH OR VIENNA"	"Bread, French or Vienna"
51107040	"BREAD, FRENCH OR VIENNA, TOASTED"	"Bread, French or Vienna, toasted"
51108010	"FOCACCIA, ITALIAN FLATBREAD, PLAIN"	"Focaccia, Italian flatbread, plain"
51108100	"NAAN, INDIAN FLATBREAD"	"Naan, Indian flatbread"
51109010	"BREAD, ITALIAN, GRECIAN, ARMENIAN"	"Bread, Italian, Grecian, Armenian"
51109040	"BREAD, ITALIAN, GRECIAN, ARMENIAN, TOASTED"	"Bread, Italian, Grecian, Armenian, toasted"
51109100	"BREAD, PITA"	"Bread, pita"
51109110	"BREAD, PITA, TOASTED"	"Bread, pita, toasted"
51109150	"BREAD, PITA WITH FRUIT"	"Bread, pita with fruit"
51109200	"BREAD, PITA WITH FRUIT, TOASTED"	"Bread, pita with fruit, toasted"
51111010	"BREAD, CHEESE"	"Bread, cheese"
51111040	"BREAD, CHEESE, TOASTED"	"Bread, cheese, toasted"
51113010	"BREAD, CINNAMON"	"Bread, cinnamon"
51113100	"BREAD, CINNAMON, TOASTED"	"Bread, cinnamon, toasted"
51115010	"BREAD, CORNMEAL AND MOLASSES"	"Bread, cornmeal and molasses"
51115020	"BREAD, CORNMEAL AND MOLASSES, TOASTED"	"Bread, cornmeal and molasses, toasted"
51119010	"BREAD, EGG, CHALLAH"	"Bread, egg, Challah"
51119040	"BREAD, EGG, CHALLAH, TOASTED"	"Bread, egg, Challah, toasted"
51121015	"GARLIC BREAD, NFS"	"Garlic bread, NFS"
51121025	"GARLIC BREAD, FROM FAST FOOD _ RESTAURANT"	"Garlic bread, from fast food _ restaurant"
51121035	"GARLIC BREAD, FROM FROZEN"	"Garlic bread, from frozen"
51121045	"GARLIC BREAD, WITH PARMESAN CHEESE, FROM FAST FOOD _ RESTAUR"	"Garlic bread, with parmesan cheese, from fast food _ restaurant"
51121055	"GARLIC BREAD, WITH PARMESAN CHEESE, FROM FROZEN"	"Garlic bread, with parmesan cheese, from frozen"
51121065	"GARLIC BREAD, WITH MELTED CHEESE, FROM FAST FOOD _ RESTAURAN"	"Garlic bread, with melted cheese, from fast food _ restaurant"
51121075	"GARLIC BREAD, WITH MELTED CHEESE, FROM FROZEN"	"Garlic bread, with melted cheese, from frozen"
51121110	"BREAD, ONION"	"Bread, onion"
51121120	"BREAD, ONION, TOASTED"	"Bread, onion, toasted"
51122000	"BREAD, REDUCED CALORIE AND_OR HIGH FIBER, WHITE OR NFS"	"Bread, reduced calorie and_or high fiber, white or NFS"
51122010	"BREAD, REDUCED CALORIE AND_OR HIGH FIBER, WHITE OR NFS, TOAS"	"Bread, reduced calorie and_or high fiber, white or NFS, toasted"
51122100	"BREAD, REDUCED CALORIE AND_OR HIGH FIBER, WHITE OR NFS, WITH"	"Bread, reduced calorie and_or high fiber, white or NFS, with fruit and_or nuts"
51122110	"BREAD, REDUCED CALORIE AND_OR HIGH FIBER, WHITE OR NFS, WITH"	"Bread, reduced calorie and_or high fiber, white or NFS, with fruit and_or nuts, toasted"
51122300	"BREAD, WHITE, SPECIAL FORMULA, ADDED FIBER"	"Bread, white, special formula, added fiber"
51122310	"BREAD, WHITE, SPECIAL FORMULA, ADDED FIBER, TOASTED"	"Bread, white, special formula, added fiber, toasted"
51123010	"BREAD, HIGH PROTEIN"	"Bread, high protein"
51123020	"BREAD, HIGH PROTEIN, TOASTED"	"Bread, high protein, toasted"
51127010	"BREAD, POTATO"	"Bread, potato"
51127020	"BREAD, POTATO, TOASTED"	"Bread, potato, toasted"
51129010	"BREAD, RAISIN"	"Bread, raisin"
51129020	"BREAD, RAISIN, TOASTED"	"Bread, raisin, toasted"
51130510	"BREAD, WHITE, LOW SODIUM OR NO SALT"	"Bread, white, low sodium or no salt"
51130520	"BREAD, WHITE, LOW SODIUM OR NO SALT, TOASTED"	"Bread, white, low sodium or no salt, toasted"
51133010	"BREAD, SOUR DOUGH"	"Bread, sour dough"
51133020	"BREAD, SOUR DOUGH, TOASTED"	"Bread, sour dough, toasted"
51134000	"BREAD, SWEET POTATO"	"Bread, sweet potato"
51134010	"BREAD, SWEET POTATO, TOASTED"	"Bread, sweet potato, toasted"
51135000	"BREAD, VEGETABLE"	"Bread, vegetable"
51135010	"BREAD, VEGETABLE, TOASTED"	"Bread, vegetable, toasted"
51136000	"BRUSCHETTA"	"Bruschetta"
51140100	"BREAD, DOUGH, FRIED"	"Bread, dough, fried"
51150000	"ROLL, WHITE, SOFT"	"Roll, white, soft"
51153000	"ROLL, WHITE, HARD"	"Roll, white, hard"
51154010	"ROLL, WHITE, HOT DOG BUN"	"Roll, white, hot dog bun"
51154100	"ROLL, WHITE, HAMBURGER BUN"	"Roll, white, hamburger bun"
51154510	"ROLL, DIET"	"Roll, diet"
51154550	"ROLL, EGG BREAD"	"Roll, egg bread"
51154600	"ROLL, CHEESE"	"Roll, cheese"
51155000	"ROLL, FRENCH OR VIENNA"	"Roll, French or Vienna"
51156500	"ROLL, GARLIC"	"Roll, garlic"
51157000	"ROLL, WHITE, HOAGIE, SUBMARINE"	"Roll, white, hoagie, submarine"
51158100	"ROLL, MEXICAN, BOLILLO"	"Roll, Mexican, bolillo"
51159000	"ROLL, SOUR DOUGH"	"Roll, sour dough"
51160000	"ROLL, SWEET, NO FROSTING"	"Roll, sweet, no frosting"
51160100	"ROLL, SWEET, CINNAMON BUN, NO FROSTING"	"Roll, sweet, cinnamon bun, no frosting"
51160110	"ROLL, SWEET, CINNAMON BUN, FROSTED"	"Roll, sweet, cinnamon bun, frosted"
51161000	"PAN DULCE, WITH FRUIT, NO FROSTING"	"Pan Dulce, with fruit, no frosting"
51161020	"ROLL, SWEET, WITH FRUIT, FROSTED"	"Roll, sweet, with fruit, frosted"
51161030	"ROLL, SWEET, WITH FRUIT, FROSTED, DIET"	"Roll, sweet, with fruit, frosted, diet"
51161050	"ROLL, SWEET, FROSTED"	"Roll, sweet, frosted"
51161250	"PAN DULCE, NO TOPPING"	"Pan Dulce, no topping"
51161270	"PAN DULCE, WITH SUGAR TOPPING"	"Pan Dulce, with sugar topping"
51161280	"PAN DULCE, WITH RAISINS AND ICING"	"Pan Dulce, with raisins and icing"
51165000	"COFFEE CAKE, YEAST TYPE"	"Coffee cake, yeast type"
51166000	"CROISSANT"	"Croissant"
51166100	"CROISSANT, CHEESE"	"Croissant, cheese"
51166200	"CROISSANT, CHOCOLATE"	"Croissant, chocolate"
51166500	"CROISSANT, FRUIT"	"Croissant, fruit"
51167000	"BRIOCHE"	"Brioche"
51168000	"BREAD, SPANISH COFFEE"	"Bread, Spanish coffee"
51180010	"BAGEL"	"Bagel"
51180030	"BAGEL, WITH RAISINS"	"Bagel, with raisins"
51180080	"BAGEL, WITH FRUIT OTHER THAN RAISINS"	"Bagel, with fruit other than raisins"
51182010	"BREAD STUFFING"	"Bread stuffing"
51182020	"BREAD STUFFING MADE WITH EGG"	"Bread stuffing made with egg"
51183990	"BREADSTICKS, NFS"	"Breadsticks, NFS"
51184000	"BREADSTICKS, HARD, NFS"	"Breadsticks, hard, NFS"
51184100	"BREADSTICKS, HARD, REDUCED SODIUM"	"Breadsticks, hard, reduced sodium"
51184200	"BREADSTICKS, SOFT, NFS"	"Breadsticks, soft, NFS"
51184210	"BREADSTICKS, SOFT, FROM FAST FOOD _ RESTAURANT"	"Breadsticks, soft, from fast food _ restaurant"
51184220	"BREADSTICKS, SOFT, FROM FROZEN"	"Breadsticks, soft, from frozen"
51184230	"BREADSTICKS, SOFT, WITH PARMESAN CHEESE, FROM FAST FOOD _ RE"	"Breadsticks, soft, with parmesan cheese, from fast food _ restaurant"
51184240	"BREADSTICKS, SOFT, WITH PARMESAN CHEESE, FROM FROZEN"	"Breadsticks, soft, with parmesan cheese, from frozen"
51184250	"BREADSTICKS, SOFT, TOPPED WITH MELTED CHEESE"	"Breadsticks, soft, topped with melted cheese"
51184260	"BREADSTICKS, SOFT, STUFFED WITH MELTED CHEESE"	"Breadsticks, soft, stuffed with melted cheese"
51185000	"CROUTONS"	"Croutons"
51186010	"MUFFIN, ENGLISH"	"Muffin, English"
51186100	"MUFFIN, ENGLISH, WITH RAISINS"	"Muffin, English, with raisins"
51186130	"MUFFIN, ENGLISH, CHEESE"	"Muffin, English, cheese"
51186160	"MUFFIN, ENGLISH, WITH FRUIT OTHER THAN RAISINS"	"Muffin, English, with fruit other than raisins"
51187000	"MELBA TOAST"	"Melba toast"
51187020	"ANISETTE TOAST"	"Anisette toast"
51188100	"PANNETONE"	"Pannetone"
51188500	"ZWIEBACK TOAST"	"Zwieback toast"
51300050	"BREAD, WHOLE GRAIN WHITE"	"Bread, whole grain white"
51300060	"BREAD, WHOLE GRAIN WHITE, TOASTED"	"Bread, whole grain white, toasted"
51300100	"BAGEL, WHOLE GRAIN WHITE"	"Bagel, whole grain white"
51300110	"BREAD, WHOLE WHEAT"	"Bread, whole wheat"
51300120	"BREAD, WHOLE WHEAT, TOASTED"	"Bread, whole wheat, toasted"
51300140	"BREAD, WHOLE WHEAT, MADE FROM HOME RECIPE OR PURCHASED AT BA"	"Bread, whole wheat, made from home recipe or purchased at bakery"
51300150	"BREAD, WHOLE WHEAT, MADE FROM HOME RECIPE OR PURCHASED AT BA"	"Bread, whole wheat, made from home recipe or purchased at bakery, toasted"
51300175	"BREAD, CHAPPATTI OR ROTI, WHEAT"	"Bread, chappatti or roti, wheat"
51300180	"BREAD, PURI, WHEAT"	"Bread, puri, wheat"
51300185	"BREAD, PARATHA, WHEAT"	"Bread, paratha, wheat"
51300210	"BREAD, WHOLE WHEAT, WITH RAISINS"	"Bread, whole wheat, with raisins"
51300220	"BREAD, WHOLE WHEAT, WITH RAISINS, TOASTED"	"Bread, whole wheat, with raisins, toasted"
51300300	"BREAD, SPROUTED WHEAT"	"Bread, sprouted wheat"
51300310	"BREAD, SPROUTED WHEAT, TOASTED"	"Bread, sprouted wheat, toasted"
51301010	"BREAD, WHEAT OR CRACKED WHEAT"	"Bread, wheat or cracked wheat"
51301020	"BREAD, WHEAT OR CRACKED WHEAT, TOASTED"	"Bread, wheat or cracked wheat, toasted"
51301040	"BREAD, WHEAT OR CRACKED WHEAT, MADE FROM HOME RECIPE OR PURC"	"Bread, wheat or cracked wheat, made from home recipe or purchased at bakery"
51301050	"BREAD, WHEAT OR CRACKED WHEAT, MADE FROM HOME RECIPE OR PURC"	"Bread, wheat or cracked wheat, made from home recipe or purchased at bakery, toasted"
51301120	"BREAD, WHEAT OR CRACKED WHEAT, WITH RAISINS"	"Bread, wheat or cracked wheat, with raisins"
51301130	"BREAD, WHEAT OR CRACKED WHEAT, WITH RAISINS, TOASTED"	"Bread, wheat or cracked wheat, with raisins, toasted"
51301510	"BREAD, WHEAT OR CRACKED WHEAT, REDUCED CALORIE AND_OR HIGH F"	"Bread, wheat or cracked wheat, reduced calorie and_or high fiber"
51301520	"BREAD, WHEAT OR CRACKED WHEAT, REDUCED CALORIE AND_OR HIGH F"	"Bread, wheat or cracked wheat, reduced calorie and_or high fiber, toasted"
51301540	"BREAD, FRENCH OR VIENNA, WHOLE WHEAT"	"Bread, French or Vienna, whole wheat"
51301550	"BREAD, FRENCH OR VIENNA, WHOLE WHEAT, TOASTED"	"Bread, French or Vienna, whole wheat, toasted"
51301600	"BREAD, PITA, WHOLE WHEAT"	"Bread, pita, whole wheat"
51301610	"BREAD, PITA, WHOLE WHEAT, TOASTED"	"Bread, pita, whole wheat, toasted"
51301620	"BREAD, PITA, WHEAT OR CRACKED WHEAT"	"Bread, pita, wheat or cracked wheat"
51301630	"BREAD, PITA, WHEAT OR CRACKED WHEAT, TOASTED"	"Bread, pita, wheat or cracked wheat, toasted"
51301700	"BAGEL, WHEAT"	"Bagel, wheat"
51301750	"BAGEL, WHOLE WHEAT"	"Bagel, whole wheat"
51301800	"BAGEL, WHEAT, WITH RAISINS"	"Bagel, wheat, with raisins"
51301805	"BAGEL, WHOLE WHEAT, WITH RAISINS"	"Bagel, whole wheat, with raisins"
51301820	"BAGEL, WHEAT, WITH FRUIT AND NUTS"	"Bagel, wheat, with fruit and nuts"
51301900	"BAGEL, WHEAT BRAN"	"Bagel, wheat bran"
51302500	"MUFFIN, ENGLISH, WHEAT BRAN"	"Muffin, English, wheat bran"
51302520	"MUFFIN, ENGLISH, WHEAT BRAN, WITH RAISINS"	"Muffin, English, wheat bran, with raisins"
51303010	"MUFFIN, ENGLISH, WHEAT OR CRACKED WHEAT"	"Muffin, English, wheat or cracked wheat"
51303030	"MUFFIN, ENGLISH, WHOLE WHEAT"	"Muffin, English, whole wheat"
51303050	"MUFFIN, ENGLISH, WHEAT OR CRACKED WHEAT, WITH RAISINS"	"Muffin, English, wheat or cracked wheat, with raisins"
51303070	"MUFFIN, ENGLISH, WHOLE WHEAT, WITH RAISINS"	"Muffin, English, whole wheat, with raisins"
51303100	"MUFFIN, ENGLISH, WHOLE GRAIN WHITE"	"Muffin, English, whole grain white"
51306000	"BREADSTICKS, HARD, WHOLE WHEAT"	"Breadsticks, hard, whole wheat"
51320010	"ROLL, WHEAT OR CRACKED WHEAT"	"Roll, wheat or cracked wheat"
51320060	"ROLL, WHEAT OR CRACKED WHEAT, HOT DOG BUN"	"Roll, wheat or cracked wheat, hot dog bun"
51320070	"ROLL, WHEAT OR CRACKED WHEAT, HAMBURGER BUN"	"Roll, wheat or cracked wheat, hamburger bun"
51320500	"ROLL, WHOLE WHEAT"	"Roll, whole wheat"
51320550	"ROLL, WHOLE WHEAT, HOT DOG BUN"	"Roll, whole wheat, hot dog bun"
51320560	"ROLL, WHOLE WHEAT, HAMBURGER BUN"	"Roll, whole wheat, hamburger bun"
51320700	"ROLL, WHOLE GRAIN WHITE"	"Roll, whole grain white"
51320710	"ROLL, WHOLE GRAIN WHITE, HOT DOG BUN"	"Roll, whole grain white, hot dog bun"
51320720	"ROLL, WHOLE GRAIN WHITE, HAMBURGER BUN"	"Roll, whole grain white, hamburger bun"
51401010	"BREAD, RYE"	"Bread, rye"
51401020	"BREAD, RYE, TOASTED"	"Bread, rye, toasted"
51401030	"BREAD, MARBLE RYE AND PUMPERNICKEL"	"Bread, marble rye and pumpernickel"
51401040	"BREAD, MARBLE RYE AND PUMPERNICKEL, TOASTED"	"Bread, marble rye and pumpernickel, toasted"
51401060	"BREAD, RYE, REDUCED CALORIE AND_OR HIGH FIBER"	"Bread, rye, reduced calorie and_or high fiber"
51401070	"BREAD, RYE, REDUCED CALORIE AND_OR HIGH FIBER, TOASTED"	"Bread, rye, reduced calorie and_or high fiber, toasted"
51401200	"MUFFIN, ENGLISH, RYE"	"Muffin, English, rye"
51404010	"BREAD, PUMPERNICKEL"	"Bread, pumpernickel"
51404020	"BREAD, PUMPERNICKEL, TOASTED"	"Bread, pumpernickel, toasted"
51404500	"BAGEL, PUMPERNICKEL"	"Bagel, pumpernickel"
51404550	"MUFFIN, ENGLISH, PUMPERNICKEL"	"Muffin, English, pumpernickel"
51407010	"BREAD, BLACK"	"Bread, black"
51407020	"BREAD, BLACK, TOASTED"	"Bread, black, toasted"
51420000	"ROLL, RYE"	"Roll, rye"
51421000	"ROLL, PUMPERNICKEL"	"Roll, pumpernickel"
51501010	"BREAD, OATMEAL"	"Bread, oatmeal"
51501020	"BREAD, OATMEAL, TOASTED"	"Bread, oatmeal, toasted"
51501040	"BREAD, OAT BRAN"	"Bread, oat bran"
51501050	"BREAD, OAT BRAN, TOASTED"	"Bread, oat bran, toasted"
51501060	"BREAD, OAT BRAN, REDUCED CALORIE AND_OR HIGH FIBER"	"Bread, oat bran, reduced calorie and_or high fiber"
51501070	"BREAD, OAT BRAN, REDUCED CALORIE AND_OR HIGH FIBER, TOASTED"	"Bread, oat bran, reduced calorie and_or high fiber, toasted"
51501080	"BAGEL, OAT BRAN"	"Bagel, oat bran"
51502010	"ROLL, OATMEAL"	"Roll, oatmeal"
51503000	"MUFFIN, ENGLISH, OAT BRAN"	"Muffin, English, oat bran"
51503040	"MUFFIN, ENGLISH, OAT BRAN, WITH RAISINS"	"Muffin, English, oat bran, with raisins"
51601010	"BREAD, MULTIGRAIN, TOASTED"	"Bread, multigrain, toasted"
51601020	"BREAD, MULTIGRAIN"	"Bread, multigrain"
51601210	"BREAD, MULTIGRAIN, WITH RAISINS"	"Bread, multigrain, with raisins"
51601220	"BREAD, MULTIGRAIN, WITH RAISINS, TOASTED"	"Bread, multigrain, with raisins, toasted"
51602010	"BREAD, MULTIGRAIN, REDUCED CALORIE AND_OR HIGH FIBER"	"Bread, multigrain, reduced calorie and_or high fiber"
51602020	"BREAD, MULTIGRAIN, REDUCED CALORIE AND_OR HIGH FIBER, TOASTE"	"Bread, multigrain, reduced calorie and_or high fiber, toasted"
51620000	"ROLL, MULTIGRAIN"	"Roll, multigrain"
51620020	"ROLL, MULTIGRAIN, HOT DOG BUN"	"Roll, multigrain, hot dog bun"
51620030	"ROLL, MULTIGRAIN, HAMBURGER BUN"	"Roll, multigrain, hamburger bun"
51630000	"BAGEL, MULTIGRAIN"	"Bagel, multigrain"
51630100	"BAGEL, MULTIGRAIN, WITH RAISINS"	"Bagel, multigrain, with raisins"
51630200	"MUFFIN, ENGLISH, MULTIGRAIN"	"Muffin, English, multigrain"
51801010	"BREAD, BARLEY"	"Bread, barley"
51801020	"BREAD, BARLEY, TOASTED"	"Bread, barley, toasted"
51804010	"BREAD, SOY"	"Bread, soy"
51804020	"BREAD, SOY, TOASTED"	"Bread, soy, toasted"
51805010	"BREAD, SUNFLOWER MEAL"	"Bread, sunflower meal"
51805020	"BREAD, SUNFLOWER MEAL, TOASTED"	"Bread, sunflower meal, toasted"
51806010	"BREAD, RICE"	"Bread, rice"
51806020	"BREAD, RICE, TOASTED"	"Bread, rice, toasted"
51807000	"INJERA, ETHIOPIAN BREAD"	"Injera, Ethiopian bread"
51808000	"BREAD, GLUTEN FREE"	"Bread, gluten free"
51808010	"BREAD, GLUTEN FREE, TOASTED"	"Bread, gluten free, toasted"
51808050	"BREADSTICKS, HARD, GLUTEN FREE"	"Breadsticks, hard, gluten free"
51808100	"ROLL, GLUTEN FREE"	"Roll, gluten free"
52101000	"BISCUIT, BAKING POWDER OR BUTTERMILK TYPE, NS AS TO MADE FRO"	"Biscuit, baking powder or buttermilk type, NS as to made from mix, refrigerated dough, or home recipe"
52101030	"BISCUIT DOUGH, FRIED"	"Biscuit dough, fried"
52101040	"CRUMPET"	"Crumpet"
52101050	"CRUMPET, TOASTED"	"Crumpet, toasted"
52101100	"BISCUIT, BAKING POWDER OR BUTTERMILK TYPE, MADE FROM MIX"	"Biscuit, baking powder or buttermilk type, made from mix"
52101150	"BISCUIT, BAKING POWDER OR BUTTERMILK TYPE, MADE FROM REFRIGE"	"Biscuit, baking powder or buttermilk type, made from refrigerated dough, lowfat"
52102040	"BISCUIT, BAKING POWDER OR BUTTERMILK TYPE, MADE FROM REFRIGE"	"Biscuit, baking powder or buttermilk type, made from refrigerated dough"
52103000	"BISCUIT, BAKING POWDER OR BUTTERMILK TYPE, COMMERCIALLY BAKE"	"Biscuit, baking powder or buttermilk type, commercially baked"
52104010	"BISCUIT, BAKING POWDER OR BUTTERMILK TYPE, MADE FROM HOME RE"	"Biscuit, baking powder or buttermilk type, made from home recipe"
52104040	"BISCUIT, WHOLE WHEAT"	"Biscuit, whole wheat"
52104100	"BISCUIT, CHEESE"	"Biscuit, cheese"
52104200	"BISCUIT, CINNAMON-RAISIN"	"Biscuit, cinnamon-raisin"
52105100	"SCONE"	"Scone"
52105200	"SCONE, WITH FRUIT"	"Scone, with fruit"
52201000	"CORNBREAD, PREPARED FROM MIX"	"Cornbread, prepared from mix"
52202060	"CORNBREAD, MADE FROM HOME RECIPE"	"Cornbread, made from home recipe"
52204000	"CORNBREAD STUFFING"	"Cornbread stuffing"
52206010	"CORNBREAD MUFFIN, STICK, ROUND"	"Cornbread muffin, stick, round"
52206060	"CORNBREAD MUFFIN, STICK, ROUND, MADE FROM HOME RECIPE"	"Cornbread muffin, stick, round, made from home recipe"
52207010	"CORN FLOUR PATTY OR TART, FRIED"	"Corn flour patty or tart, fried"
52208010	"CORN PONE, BAKED"	"Corn pone, baked"
52208020	"CORN PONE, FRIED"	"Corn pone, fried"
52208760	"GORDITA_SOPE SHELL, PLAIN, NO FILLING"	"Gordita_sope shell, plain, no filling"
52209010	"HUSH PUPPY"	"Hush puppy"
52211010	"JOHNNYCAKE"	"Johnnycake"
52213010	"SPOONBREAD"	"Spoonbread"
52215000	"TORTILLA, NFS"	"Tortilla, NFS"
52215100	"TORTILLA, CORN"	"Tortilla, corn"
52215200	"TORTILLA, FLOUR"	"Tortilla, flour"
52215260	"TORTILLA, WHOLE WHEAT"	"Tortilla, whole wheat"
52215300	"TACO SHELL, CORN"	"Taco shell, corn"
52215350	"TACO SHELL, FLOUR"	"Taco shell, flour"
52220110	"AREPA DOMINICANA"	"Arepa Dominicana"
52301000	"MUFFIN, NFS"	"Muffin, NFS"
52302010	"MUFFIN, FRUIT"	"Muffin, fruit"
52302020	"MUFFIN, FRUIT, LOW FAT"	"Muffin, fruit, low fat"
52302500	"MUFFIN, CHOCOLATE CHIP"	"Muffin, chocolate chip"
52302600	"MUFFIN, CHOCOLATE"	"Muffin, chocolate"
52303010	"MUFFIN, WHOLE WHEAT"	"Muffin, whole wheat"
52303500	"MUFFIN, WHEAT"	"Muffin, wheat"
52304000	"MUFFIN, WHOLE GRAIN"	"Muffin, whole grain"
52304010	"MUFFIN, WHEAT BRAN"	"Muffin, wheat bran"
52304040	"MUFFIN, BRAN WITH FRUIT, LOWFAT"	"Muffin, bran with fruit, lowfat"
52304100	"MUFFIN, OATMEAL"	"Muffin, oatmeal"
52304150	"MUFFIN, OAT BRAN"	"Muffin, oat bran"
52306010	"MUFFIN, PLAIN"	"Muffin, plain"
52306300	"MUFFIN, CHEESE"	"Muffin, cheese"
52306500	"MUFFIN, PUMPKIN"	"Muffin, pumpkin"
52306550	"MUFFIN, ZUCCHINI"	"Muffin, zucchini"
52306700	"MUFFIN, CARROT"	"Muffin, carrot"
52311010	"POPOVER"	"Popover"
52401000	"BREAD, BOSTON BROWN"	"Bread, Boston Brown"
52403000	"BREAD, NUT"	"Bread, nut"
52404060	"BREAD, PUMPKIN"	"Bread, pumpkin"
52405010	"BREAD, FRUIT"	"Bread, fruit"
52407000	"BREAD, ZUCCHINI"	"Bread, zucchini"
52408000	"BREAD, IRISH SODA"	"Bread, Irish soda"
53100050	"CAKE BATTER, RAW, CHOCOLATE"	"Cake batter, raw, chocolate"
53100070	"CAKE BATTER, RAW, NOT CHOCOLATE"	"Cake batter, raw, not chocolate"
53100100	"CAKE OR CUPCAKE, NS AS TO TYPE"	"Cake or cupcake, NS as to type"
53101100	"CAKE, ANGEL FOOD, WITHOUT ICING OR FILLING"	"Cake, angel food, without icing or filling"
53101200	"CAKE, ANGEL FOOD, WITH ICING OR FILLING"	"Cake, angel food, with icing or filling"
53101250	"CAKE, ANGEL FOOD, WITH FRUIT AND ICING OR FILLING"	"Cake, angel food, with fruit and icing or filling"
53102100	"CAKE OR CUPCAKE, APPLESAUCE, WITHOUT ICING OR FILLING"	"Cake or cupcake, applesauce, without icing or filling"
53102200	"CAKE OR CUPCAKE, APPLESAUCE, WITH ICING OR FILLING"	"Cake or cupcake, applesauce, with icing or filling"
53102600	"CAKE OR CUPCAKE, BANANA, WITHOUT ICING OR FILLING"	"Cake or cupcake, banana, without icing or filling"
53102700	"CAKE OR CUPCAKE, BANANA, WITH ICING OR FILLING"	"Cake or cupcake, banana, with icing or filling"
53102800	"CAKE OR CUPCAKE, BLACK FOREST"	"Cake or cupcake, Black Forest"
53103000	"CAKE, BOSTON CREAM PIE"	"Cake, Boston cream pie"
53104100	"CAKE OR CUPCAKE, CARROT, WITHOUT ICING OR FILLING"	"Cake or cupcake, carrot, without icing or filling"
53104260	"CAKE OR CUPCAKE, CARROT, WITH ICING OR FILLING"	"Cake or cupcake, carrot, with icing or filling"
53104300	"CAKE, CARROT, DIET"	"Cake, carrot, diet"
53104400	"CAKE OR CUPCAKE, COCONUT, WITH ICING OR FILLING"	"Cake or cupcake, coconut, with icing or filling"
53104500	"CHEESECAKE"	"Cheesecake"
53104550	"CHEESECAKE WITH FRUIT"	"Cheesecake with fruit"
53104600	"CHEESECAKE, CHOCOLATE"	"Cheesecake, chocolate"
53105270	"CAKE OR CUPCAKE, CHOCOLATE, DEVIL_S FOOD OR FUDGE, WITH ICIN"	"Cake or cupcake, chocolate, devil_s food or fudge, with icing or filling"
53105275	"CAKE OR CUPCAKE, CHOCOLATE, DEVIL_S FOOD OR FUDGE, WITHOUT I"	"Cake or cupcake, chocolate, devil_s food or fudge, without icing or filling"
53105300	"CAKE OR CUPCAKE, GERMAN CHOCOLATE, WITH ICING OR FILLING"	"Cake or cupcake, German chocolate, with icing or filling"
